age,gender,occupation,line_of_work,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,,time_bp,travel+work
19-25,Male,Student in College,,7,9,0.5,4,4,-0.5,-0.5,0.5,0.5,0,-0.5,1001,1001,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1,1000,1101,Work/study from home,Yes,,9,
19-25,Male,Student in College,,7,5,0.5,3,4,0.5,-0.5,0,0,-0.5,0,1100,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,4,1.5,4,1,0.5,0.5,0.5,0.5,0.5,0.5,1111,1111,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,7,4,1.5,4,3,0,-0.5,0.5,0,0.5,0,10,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1,1000,1101,Work/study from home,Yes,,9,
19-25,Male,Student in College,,11,4,0.5,5,1,-1,-1,-1,-1,-1,-1,1000,1000,Complete Physical Attendance,Maybe,,11,
19-25,Female,Student in College,,7,7,0.5,3,3,-0.5,0,0.5,0.5,-0.5,0.5,1000,1101,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,7,5,0.5,3,2,0.5,0.5,0.5,0.5,0.5,0.5,1000,1111,Work/study from home,Yes,,7,
19-25,Male,Student in College,,9,5,0.5,3,3,0.5,1,-1,1,0,0,1,1111,Complete Physical Attendance,Maybe,,9,
19-25,Male,Student in College,,9,7,2.5,3,3,0,-1,1,1,0.5,0.5,1100,1111,Complete Physical Attendance,Maybe,,9,
19-25,Male,Student in College,,7,11,0.5,4,5,0,1,0.5,-1,-1,-1,1011,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,9,11,1.5,2,1,0.5,1,0.5,0.5,0.5,0.5,1110,100,Work/study from home,Yes,,9,
19-25,Male,Student in College,,4,4,0.5,1,3,1,1,1,1,1,1,1000,100,Complete Physical Attendance,No,,4,
19-25,Female,Student in College,,5,4,0.5,4,4,-0.5,-1,-0.5,-0.5,-1,-1,10,1001,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,9,7,1.5,2,3,-0.5,-1,-1,0.5,0,0.5,1000,1100,Complete Physical Attendance,No,,9,
19-25,Female,Student in College,,5,5,0.5,5,4,-0.5,0,0,0,0,0,100,1011,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,4,5,0.5,4,4,0.5,0.5,1,0,-0.5,0.5,11,1011,Complete Physical Attendance,Yes,,4,
19-25,Male,Student in College,,5,7,0.5,3,5,0.5,-0.5,0,0.5,0,0,110,1111,Complete Physical Attendance,Maybe,,5,
33-40,Male,Working Professional,Teaching,9,11,0.5,4,3,-1,-1,-1,0,-1,-1,1000,1010,Complete Physical Attendance,No,,9,
60+,Prefer not to say,Entrepreneur,,12,12,3,5,5,-1,-1,-1,-1,-1,0,1,10,Complete Physical Attendance,No,,12,
19-25,Female,Student in College,,7,9,0.5,4,4,0.5,1,0.5,1,1,1,1100,1000,Work/study from home,Maybe,,7,
19-25,Male,Student in College,,7,5,0.5,5,4,-1,1,0.5,0.5,-0.5,0,1000,1111,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,4,0.5,4,3,-1,0,0.5,0,-0.5,0,1100,1101,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,12,7,0.5,3,4,-0.5,0,0,0,0,0,1111,1,Work/study from home,Maybe,,12,
19-25,Male,Student in College,,12,4,0.5,5,5,-1,-1,-1,-0.5,-1,-1,1000,1111,Complete Physical Attendance,No,,12,
19-25,Male,Student in College,,5,5,0.5,3,4,1,0.5,1,0.5,1,1,1010,1111,Work/study from home,Maybe,,5,
19-25,Female,Student in College,,7,7,0.5,2,2,0,0.5,0.5,0,0,-0.5,1,101,Work/study from home,Yes,,7,
19-25,Male,Student in College,,7,5,0.5,4,5,-0.5,-0.5,-1,-1,0,-1,10,1000,Complete Physical Attendance,Yes,,7,
19-25,Male,Entrepreneur,,12,12,1.5,2,2,0.5,-0.5,-0.5,0.5,-0.5,-0.5,1000,1,Work/study from home,Yes,,12,
19-25,Female,Student in College,,7,9,1.5,3,1,0,-0.5,0,0,0,-0.5,1000,1000,Work/study from home,Yes,,7,
19-25,Male,Student in College,,5,4,0.5,3,2,0,1,1,1,1,1,1100,111,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,5,5,0.5,1,2,-0.5,-1,0.5,0.5,0.5,1,10,100,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,5,5,0.5,1,2,-0.5,-1,0.5,0.5,0.5,1,10,100,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,9,9,0.5,2,3,0.5,0,0.5,0.5,0.5,0.5,1010,1000,Work/study from home,Yes,,9,
19-25,Male,Student in College,,5,5,0.5,3,3,-0.5,0,0,0.5,0,-0.5,1110,1111,Work/study from home,Yes,,5,
19-25,Male,Working Professional,Engineering,9,11,1.5,4,5,0,-0.5,-0.5,0.5,0,0,1100,1100,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,5,4,0.5,2,3,-1,-0.5,-1,-1,-0.5,-1,100,1000,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,7,9,0.5,4,4,-0.5,0,-0.5,0.5,-1,-0.5,1000,1101,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,5,4,0.5,4,4,-0.5,-0.5,0,0.5,0,0,1000,1000,Complete Physical Attendance,Maybe,,5,
19-25,Male,Student in College,,7,4,0.5,4,1,-0.5,-0.5,1,1,1,1,1110,1100,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,9,4,0.5,3,2,-0.5,-1,0,1,-0.5,0.5,1100,1100,Complete Physical Attendance,No,,9,
19-25,Female,Working Professional,Engineering,9,12,0.5,2,3,0,-1,-1,-1,-1,-1,1000,1101,Work/study from home,Yes,,9,
Dec-18,Male,Student in School,,7,5,1.5,3,3,0.5,-1,0.5,-0.5,0.5,0,1111,1111,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,5,7,1.5,2,2,-1,-0.5,-1,-0.5,-0.5,-1,1000,1000,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,7,7,2.5,4,3,0,0,0,1,1,1,1111,1100,Work/study from home,Yes,,7,
19-25,Male,Student in College,,7,9,0.5,4,3,0,-1,0.5,1,-1,0,1000,1111,Complete Physical Attendance,No,,7,
19-25,Prefer not to say,Retired/Senior Citizen,,4,9,2.5,3,3,0.5,-1,0,0,-1,0,1000,100,Complete Physical Attendance,Maybe,,4,
Dec-18,Male,Student in College,,7,4,1.5,3,5,-1,-1,1,0,-0.5,1,100,1111,Complete Physical Attendance,No,,7,
26-32,Female,Working Professional,Teaching,9,7,0.5,1,1,1,1,1,1,1,1,1100,1000,Work/study from home,Yes,,9,
19-25,Male,Student in College,,4,7,0.5,5,1,-1,-1,-1,-1,-1,-1,100,1,Complete Physical Attendance,Yes,,4,
19-25,Male,Student in College,,7,4,0.5,5,5,-1,-1,-1,0,-1,-1,10,1111,Complete Physical Attendance,No,,7,
19-25,Female,Student in College,,7,9,0.5,4,4,0.5,-0.5,-0.5,0,-0.5,0,100,11,Work/study from home,Yes,,7,
33-40,Male,Working Professional,Management,9,4,0.5,2,3,-0.5,-0.5,-1,-0.5,0.5,-0.5,100,100,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,7,7,0.5,2,2,0,-1,0.5,1,-0.5,0,1100,1101,Work/study from home,Yes,,7,
Dec-18,Female,Student in School,,7,4,2.5,3,4,-0.5,-1,0.5,0,0.5,0,1000,1001,Complete Physical Attendance,Yes,,7,
19-25,Female,Student in College,,7,11,1.5,3,4,-0.5,-1,-1,-1,-1,-1,1001,1110,Complete Physical Attendance,No,,7,
19-25,Female,Student in College,,7,7,2.5,4,2,0,-1,0.5,0.5,0,0.5,1000,1101,Complete Physical Attendance,No,,7,
19-25,Female,Student in College,,7,7,0.5,5,5,-1,0,-1,-1,-0.5,-1,1,10,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,5,7,0.5,3,4,0,-1,1,1,-0.5,0,100,1111,Complete Physical Attendance,Maybe,,5,
Dec-18,Male,Student in School,,7,5,0.5,4,2,-0.5,-1,0.5,0.5,-0.5,0,10,1000,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,12,0.5,5,2,-1,-1,-0.5,1,-0.5,0,1110,1100,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,5,5,2.5,2,2,0.5,0.5,-0.5,0.5,-1,0,1100,1101,Complete Physical Attendance,Yes,,5,
19-25,Female,Student in College,,9,11,0.5,3,3,0,0,0,0,0.5,0,1110,1111,Complete Physical Attendance,No,,9,
19-25,Female,Student in College,,5,12,0.5,2,3,0,-1,-0.5,0,-1,0,1100,1101,Complete Physical Attendance,Maybe,,5,
19-25,Female,Student in College,,5,5,0.5,3,3,0,0.5,0,0.5,-0.5,0,100,1111,Complete Physical Attendance,Maybe,,5,
19-25,Male,Working Professional,Engineering,9,7,0.5,3,3,0.5,-1,0,0.5,0.5,1,1001,1101,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,7,11,0.5,3,3,-0.5,-1,-1,-1,-1,-0.5,1000,1111,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,5,5,1.5,3,3,-0.5,0,0.5,0.5,0,0.5,100,1111,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,7,12,0.5,5,5,0,-0.5,0.5,1,-1,0.5,100,1111,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,11,0.5,4,3,0,0,0,0,0,0,100,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1,1000,1101,Work/study from home,Yes,,9,
Dec-18,Female,Student in College,,9,7,1.5,4,4,-1,-1,0.5,0.5,0.5,0.5,10,1000,Complete Physical Attendance,Yes,,9,
Dec-18,Male,Student in College,,5,7,0.5,4,5,0,0,-0.5,0.5,-0.5,-0.5,100,1111,Complete Physical Attendance,Yes,,5,
19-25,Female,Student in College,,7,12,0.5,5,3,0,-1,-1,-1,-1,-1,1000,1111,Complete Physical Attendance,Yes,,7,
19-25,Female,Student in College,,5,5,0.5,4,3,0,-0.5,0.5,0.5,-1,-0.5,1100,111,Complete Physical Attendance,Maybe,,5,
Dec-18,Male,Student in College,,9,7,0.5,3,2,-0.5,0.5,1,1,-0.5,0,11,1100,Complete Physical Attendance,Maybe,,9,
Dec-18,Male,Student in College,,5,4,0.5,5,5,-1,0,0,1,1,1,100,1,Complete Physical Attendance,No,,5,
Dec-18,Male,Student in College,,7,7,0.5,5,2,-1,-1,0.5,1,-1,0.5,1000,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,11,0.5,2,4,0,-0.5,-1,-0.5,-1,-0.5,1010,1100,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,5,5,1.5,2,3,-0.5,-1,-1,-1,-1,-0.5,1010,1110,Complete Physical Attendance,Maybe,,5,
19-25,Female,Student in College,,5,5,0.5,1,1,1,1,0.5,0.5,1,0.5,1110,1,Work/study from home,Yes,,5,
Dec-18,Female,Student in College,,4,9,0.5,1,2,-1,-1,1,-0.5,0.5,0.5,101,1100,Work/study from home,Yes,,4,
Dec-18,Male,Student in College,,5,5,1.5,4,4,-0.5,-0.5,0,0.5,-0.5,0,1000,1011,Complete Physical Attendance,Maybe,,5,
19-25,Male,Student in College,,5,5,0.5,3,3,0,0.5,0.5,1,0.5,0.5,1110,1111,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,7,7,0.5,4,3,-1,-1,-0.5,0,0,-1,1000,1100,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,5,7,1.5,3,2,0.5,-0.5,-0.5,0,0,0,1000,1100,Complete Physical Attendance,Maybe,,5,
Dec-18,Male,Student in College,,7,7,0.5,3,2,-0.5,0,-0.5,1,0,0,1110,1000,Work/study from home,Yes,,7,
19-25,Female,Student in College,,5,5,0.5,3,4,-0.5,-1,0,-0.5,-1,-0.5,100,1111,Complete Physical Attendance,No,,5,
33-40,Female,Homemaker,,4,4,1.5,4,2,-0.5,-0.5,0.5,0.5,-0.5,-0.5,1000,1100,Complete Physical Attendance,No,,4,
19-25,Male,Student in College,,7,7,1.5,3,3,0,0,-0.5,1,-0.5,0,1111,1110,Complete Physical Attendance,No,,7,
Dec-18,Female,Student in School,,5,5,0.5,3,3,0,0,0,0,0,0,1111,1011,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,9,5,0.5,4,3,0,-0.5,0,-1,-0.5,0,1010,1111,Complete Physical Attendance,No,,9,
19-25,Male,Student in College,,11,5,0.5,1,1,-0.5,-1,1,0.5,1,1,1100,1,Work/study from home,Yes,,11,
Dec-18,Male,Student in College,,9,5,0.5,4,4,-0.5,0.5,0.5,0.5,-0.5,0,1110,1011,Complete Physical Attendance,Yes,,9,
Dec-18,Male,Student in College,,7,5,0.5,4,5,-1,-1,0.5,1,-0.5,0.5,1000,1111,Complete Physical Attendance,Maybe,,7,
Dec-18,Male,Student in College,,7,9,0.5,5,2,-1,0,-1,1,-1,-0.5,10,1111,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,5,5,0.5,2,2,0,-0.5,0.5,0.5,-1,0,100,1111,Work/study from home,Maybe,,5,
19-25,Male,Student in College,,7,5,0.5,2,1,0,-1,0.5,0.5,-0.5,0,1110,1,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,9,7,3,3,3,0.5,-1,0.5,0,-0.5,-0.5,1001,1,Work/study from home,Yes,,9,
19-25,Male,Student in College,,5,7,0.5,1,2,0.5,0.5,0,0.5,0,0.5,1000,1100,Work/study from home,Yes,,5,
19-25,Female,Student in College,,7,7,0.5,4,4,0,0,0.5,1,1,0,1000,1000,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,11,0.5,5,2,-1,-1,-1,-1,-1,-1,100,1111,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,5,7,0.5,4,2,0,0,0.5,0,-0.5,-0.5,1000,1111,Complete Physical Attendance,Maybe,,5,
Dec-18,Male,Student in College,,5,5,0.5,5,5,-1,-1,-1,0.5,-0.5,-0.5,100,1,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,11,7,2.5,1,1,0.5,1,0.5,1,1,1,1110,1100,Work/study from home,Yes,,11,
19-25,Female,Student in College,,7,4,0.5,4,5,-0.5,-1,0,0,-1,-0.5,10,1101,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,7,9,0.5,3,2,-0.5,-0.5,0.5,0.5,0,0.5,100,1111,Complete Physical Attendance,Maybe,,7,
Dec-18,Prefer not to say,Student in School,,9,11,1.5,2,4,0,-1,1,0.5,-1,-1,1001,1111,Work/study from home,Yes,,9,
19-25,Male,Student in College,,11,5,0.5,2,4,-1,0.5,1,1,0.5,1,1100,1000,Complete Physical Attendance,No,,11,
19-25,Male,Student in College,,5,4,0.5,1,3,0,0,1,1,0.5,1,1110,1000,Work/study from home,Yes,,5,
19-25,Male,Student in College,,7,9,0.5,4,3,-1,-1,-0.5,0,-1,-0.5,1111,1101,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,9,0.5,3,1,0,-0.5,1,0.5,0,0,1100,1001,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,7,0.5,3,4,-0.5,0.5,1,1,0.5,0.5,100,1111,Complete Physical Attendance,Maybe,,7,
Dec-18,Male,Student in College,,12,12,0.5,5,5,-1,0,0,0,0,0,1000,10,Complete Physical Attendance,No,,12,
Dec-18,Female,Student in College,,11,7,2.5,4,5,-0.5,0,-0.5,1,0,1,101,1010,Complete Physical Attendance,No,,11,
19-25,Male,Student in College,,7,7,2.5,3,3,0,0,0,0,0,0,1000,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,5,5,0.5,4,2,-0.5,-0.5,0,0,-0.5,-0.5,10,1111,Complete Physical Attendance,No,,5,
19-25,Female,Student in College,,5,4,0.5,1,3,0,0,0.5,0,-0.5,-0.5,10,1101,Complete Physical Attendance,Maybe,,5,
19-25,Female,Student in College,,5,12,0.5,5,3,-0.5,-1,-1,-1,-1,-1,10,1100,Complete Physical Attendance,No,,5,
Dec-18,Male,Student in College,,5,7,0.5,3,4,-0.5,-0.5,0,0,-1,-0.5,100,1000,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,5,7,0.5,4,3,0,0.5,0.5,0.5,-0.5,0,1110,1111,Complete Physical Attendance,Maybe,,5,
19-25,Female,Student in College,,5,7,0.5,4,4,-0.5,-1,-0.5,0,-0.5,-0.5,101,101,Complete Physical Attendance,No,,5,
19-25,Female,Student in College,,5,7,0.5,4,4,0.5,-1,0.5,1,0,-0.5,1000,1111,Complete Physical Attendance,Yes,,5,
19-25,Female,Student in College,,7,12,3,3,3,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,1111,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,5,9,0.5,5,3,0,0.5,-0.5,0.5,-0.5,-0.5,10,1000,Work/study from home,Maybe,,5,
Dec-18,Male,Student in College,,7,9,1.5,4,3,0,0,0.5,0.5,0,0,1100,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,11,2.5,2,1,0.5,-1,-1,0.5,0.5,0.5,1110,1101,Work/study from home,Yes,,7,
19-25,Female,Student in College,,9,11,1.5,3,3,0.5,-1,-0.5,0,-1,0,1100,1101,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,7,7,0.5,3,4,0.5,0,1,1,0.5,0,1010,1111,Complete Physical Attendance,Yes,,7,
Dec-18,Female,Student in College,,5,4,0.5,3,3,0,-0.5,0.5,1,0,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,
Dec-18,Female,Student in College,,5,4,0.5,3,3,0,-0.5,0.5,1,0,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,
19-25,Male,Student in College,,9,12,0.5,3,3,0,-0.5,-0.5,0,-0.5,-0.5,1000,1100,Complete Physical Attendance,Maybe,,9,
19-25,Male,Student in College,,7,4,0.5,2,2,0.5,-0.5,0.5,1,0,0.5,1100,1000,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,5,0.5,4,4,0,-0.5,0,0,-0.5,0,1000,1101,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,5,7,0.5,4,3,-1,-0.5,0,-0.5,0,-1,1011,11,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,7,4,1.5,3,3,-0.5,-0.5,0.5,0,0.5,1,1010,1111,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,5,4,0.5,2,5,-1,-1,1,0.5,1,1,1111,1000,Complete Physical Attendance,Maybe,,5,
19-25,Male,Student in College,,7,9,0.5,4,4,0,0,0,0,0,0,1000,1000,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,7,1.5,3,3,0,0.5,-0.5,1,-0.5,0,111,1111,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,5,7,0.5,5,2,1,1,1,1,0,1,1101,1101,Complete Physical Attendance,Yes,,5,
19-25,Male,Student in College,,12,12,0.5,1,3,-1,-1,0,0,0,0,1110,1111,Complete Physical Attendance,Yes,,12,
19-25,Male,Student in College,,7,7,0.5,3,3,-1,-1,-1,-1,-0.5,0,1000,10,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,5,1.5,1,2,1,1,1,1,1,1,1110,1,Work/study from home,Yes,,7,
19-25,Male,Working Professional,APSPDCL ,5,5,1.5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1110,1101,Complete Physical Attendance,Maybe,,5,
19-25,Male,Student in College,,5,9,1.5,4,2,0,-1,-1,0.5,-0.5,-0.5,1100,1111,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,7,5,1.5,3,3,0,-1,0,1,0.5,1,1000,1100,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,7,1.5,3,3,0.5,0,0,1,0.5,0.5,1110,1101,Work/study from home,Maybe,,7,
19-25,Female,Currently Out of Work,,7,4,0.5,2,4,-0.5,-0.5,-0.5,0.5,0,0,100,1111,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,11,1.5,1,2,1,0.5,1,1,0.5,1,1100,10,Work/study from home,Yes,,7,
19-25,Male,Student in College,,9,4,1.5,1,5,-1,-0.5,-1,-1,-1,-1,1110,11,Work/study from home,No,,9,
19-25,Male,Entrepreneur,,5,4,1.5,2,1,-0.5,-0.5,0,0.5,-1,-0.5,1000,1000,Complete Physical Attendance,Maybe,,5,
19-25,Male,Student in College,,7,4,0.5,4,3,-0.5,-1,0,-1,0.5,-0.5,1010,1111,Complete Physical Attendance,Yes,,7,
19-25,Male,Working Professional,Architecture,11,7,1.5,4,5,0,0,0,-1,-1,0,101,1101,Complete Physical Attendance,No,,11,
19-25,Female,Student in College,,7,5,2.5,1,5,-1,-0.5,0.5,0.5,-0.5,0,100,1111,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,4,1.5,2,1,0,1,1,0.5,0.5,0,1101,1010,Work/study from home,Maybe,,7,
Dec-18,Male,Student in College,,5,4,0.5,1,3,-0.5,-0.5,-0.5,0.5,0.5,0.5,1100,1001,Complete Physical Attendance,Maybe,,5,
19-25,Female,Student in College,,9,5,1.5,3,5,-0.5,-0.5,0.5,0.5,0,0.5,10,1111,Complete Physical Attendance,Maybe,,9,
19-25,Male,Student in College,,5,7,0.5,2,3,0,-1,0,1,0,0,100,1101,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,7,5,0.5,2,1,0.5,0.5,1,1,0.5,1,1000,1000,Work/study from home,Yes,,7,
19-25,Male,Student in College,,4,9,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,100,Complete Physical Attendance,Yes,,4,
19-25,Male,Student in College,,7,9,0.5,4,5,-1,0,-1,-0.5,-0.5,-0.5,1010,1111,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,11,3,2,2,0,-0.5,-1,-1,-0.5,-1,1000,1001,Work/study from home,Yes,,7,
19-25,Male,Student in College,,7,4,0.5,3,4,0,0,0,1,0.5,0.5,1100,11,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,7,9,0.5,3,3,0,0.5,-0.5,0.5,0.5,0.5,1000,1110,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,9,5,3,3,3,-0.5,0,0.5,0.5,0.5,0,1111,1101,Complete Physical Attendance,Maybe,,9,
19-25,Female,Working Professional,Architect,7,4,0.5,1,1,0,-1,1,1,0.5,0.5,1111,111,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,4,1.5,1,1,1,1,1,1,1,1,1111,100,Work/study from home,Yes,,7,
19-25,Female,Student in College,,7,5,0.5,3,4,0,0,0.5,0.5,0.5,0.5,110,1001,Work/study from home,Yes,,7,
19-25,Male,Working Professional,Engineering,7,9,0.5,2,4,0,0.5,-0.5,0,-0.5,0,1010,1011,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0,111,1100,Complete Physical Attendance,Yes,,9,
19-25,Male,Student in College,,7,7,1.5,3,4,-0.5,0.5,1,1,-0.5,-0.5,1010,1110,Complete Physical Attendance,Yes,,7,
Dec-18,Female,Student in School,,5,4,0.5,4,4,-1,-0.5,0,0,-1,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,
19-25,Female,Currently Out of Work,,7,4,0.5,2,3,0,-1,0.5,1,0,0,1111,1000,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,9,9,0.5,4,3,-0.5,-0.5,-1,-0.5,0,-1,100,100,Complete Physical Attendance,No,,9,
19-25,Male,Entrepreneur,,4,4,0.5,2,1,1,0.5,0.5,0,0.5,0,1101,1100,Work/study from home,Maybe,,4,
